activemodel, 4.0.0, MIT
activesupport, 4.0.0, MIT
addressable, 2.2.8, Apache 2.0
anchorman, 0.9.5, MIT
atomic, 1.1.13, Apache-2.0
blue-shell, 0.2.2, MIT
builder, 3.1.4, MIT
bundler, 1.3.5, MIT
caldecott-client, 0.0.2, MIT
cf, 5.2.2, Apache 2.0
cf-uaa-lib, 2.0.0, Apache 2.0
cfoundry, 4.3.5, Apache 2.0
crack, 0.4.1, MIT
diff-lcs, 1.2.4, MIT
factory_girl, 4.2.0, MIT
fakefs, 0.4.2, MIT
faraday, 0.8.8, MIT
ffaker, 1.15.0, MIT
gem-release, 0.6.0, MIT
git, 1.2.6, MIT
github, 0.7.2, MIT
highline, 1.6.19, Ruby
httparty, 0.11.0, MIT
i18n, 0.6.5, MIT
interact, 0.5.2, BSD
json_pure, 1.5.5, ruby
launchy, 2.0.5, ISC
license_finder, 0.9.2, MIT
mime-types, 1.24, MIT
minitest, 4.7.5, MIT
mothership, 0.5.1, BSD
multi_json, 1.7.9, MIT
multi_xml, 0.5.5, MIT
multipart-post, 1.2.0, MIT
ocra, 1.3.1, MIT
octokit, 2.0.0, MIT
rack, 1.5.2, MIT
rack-protection, 1.5.0, MIT
rake, 0.9.6, MIT
rest-client, 1.6.7, MIT
rspec, 2.14.1, MIT
rspec-core, 2.14.5, MIT
rspec-expectations, 2.14.2, MIT
rspec-instafail, 0.2.4, MIT
rspec-mocks, 2.14.3, MIT
rubyzip, 0.9.9, ruby
safe_yaml, 0.9.5, MIT
sawyer, 0.3.0, MIT
sequel, 4.2.0, MIT
sinatra, 1.4.3, MIT
spruz, 0.2.13, MIT
sqlite3, 1.3.8, MIT
text-format, 1.0.0, Ruby
text-hyphen, 1.0.0, MIT
thor, 0.18.1, MIT
thread_safe, 0.1.2, Apache-2.0
tilt, 1.4.1, MIT
tzinfo, 0.3.37, MIT
uri_template, 0.5.3, other
uuidtools, 2.1.4, Apache 2.0
webmock, 1.13.0, MIT
